translation,transliteration
our father's house,É a-bi-a
the ancestral spirits of my father's house,e-ta-me É a-bi-a
"Save my father's house, my own, and the ancestral spirits of my father's house","i-a,-[a]m ù e-ta-me É a-bi-a I e-té-er"
Clear the affairs of your father's house,É a-bi-ku-nu za-ki-a
No evildoer should harm you,ma-ma-an s'a li um i na sé-ri-ku-nu la i-sa-la
save,e-té-er
clear,za-ki-a
cleanse,e-sa-lum
bring in order,e-sa-lum
"our father's house",É a-bi-a
the ancestral spirits of my father's house,e-ta-me É a-bi-a
"Save my father's house, my own, and the ancestral spirits of my father's house","i-a,-[a]m ù e-ta-me É a-bi-a I e-té-er"
Clear the affairs of your father's house,É a-bi-ku-nu za-ki-a
No evildoer should harm you,ma-ma-an s'a li um i na sé-ri-ku-nu la i-sa-la
save,e-té-er
clear,za-ki-a
Yes,i-na
as follows,ma-ah-ri-ni
Pay,e-ta-wu-ru-um
the debt,ha-bu-ul
of your brother,a-hi-kà
both here and abroad,lu a-na-kam
and then go,ù a-lik-ma
and take it again,i-na KÙ.BABBAR-ap
out of your brother's silver,a-hi-kà
If there is no silver,su-ma
belonging to your brother,[KÙ.BABAR]-ap a-hi-kà la-su
then pay,i-na na-ru-qi-kà
out of your joint-stock capital,su-qul
My dear sister,a-ha-ti a-ti be-el-ti a-ti
my dear lady,a-ma-kam
if there is any silver,"i-na KU.BABBAR s""a E a-bi4-ni"
there of our father's house,su-ma i-ba-si
then satisfy,DUMU I-da-a-a tà-i-bi4
Idaya's son,su-ma la li-bi4-ki
If you do not wish,a-[ma]-kam É-ti-a
to do that,Pi-la-ah-A-sùr li-di-ma
then let Pilah-Assur,tam-kà-ri lu-sa-bi4
sell my house,a-ma-la
there to pay off,na-as-pè-er-tim sa as-pu
my creditor,ra-ki-ni a-na-kam
In accordance,"I-na-a a s""u ma ki"
with the missive,it a-na su-mi É a-bi-ki
I sent to you,tam-kà-ri e-ta-uru
Innaya has here,kt 94/k 1742: 26-29
discussed-with,u a-ha-ma
the customers,40 ma-na KU.BABBAR sa-ru-pa-am
in your name,sa a-na su-mi É a-bi4-a
and in the name,a-na Pl-
of your father's house,la-ah-Is[tar] ap-qi-id
I also entrusted,orkt a/k 1030: 1-5
40 minas,i-na URUDU sa I-di-Su-in
of refined silver,13 GU 20 ma-na URUDU la-mu-nam
that was in the name,DU 10-A-sur ki-ma É a-bi-su
of my father's house,ù [A] li li il5 qe
Yes,i-na
Pay the debt,e-ta-wu-ru-um um-ma su-ut-ma ha-bu-ul : a-hi-kà
of your brother,a-hi-kà
both here and abroad,lu a-na-kam lu i-na
take it again,i-na KÙ.BABBAR-ap a-hi-kà le-qé
out of your joint-stock capital,i-na na-ru-qi-kà : su-qul
My dear sister,a-ha-ti a-ti be-el-ti a-ti a-ma-kam
if there is any silver,"i-na KU.BABBAR s""a E a-bi4-ni su-ma i-ba-si"
then satisfy,DUMU I-da-a-a tà-i-bi4 su-ma la li-bi4-ki
In accordance,a-ma-la na-as-pè-er-tim sa as-pu ra-ki-ni a-na-kam
with the missive,"I-na-a a s""u ma ki it a-na su-mi É a-bi-ki tam-kà-ri e-ta-uru"
I also entrusted,u a-ha-ma 40 ma-na KU.BABBAR sa-ru-pa-am sa a-na su-mi É a-bi4-a a-na Pl-
of refined silver,la-ah-Is[tar] ap-qi-id
Out of Idin-Suen's,i-na URUDU sa I-di-Su-in 13 GU 20 ma-na URUDU la-mu-nam DU 10-A-sur ki-ma É a-bi-su ù [A] li li il5 qe
concerning his brother,a-na A-sùr-ma-lik
a letter from me,tup-pu-um sa i-a-ti
and from Assur-samsi,ù A-sùr-UTU-si
went to him,i-tal-kà-sum
I have promised,a-ta-ma me-er-u
Su-Hubur,Su-Hu-bur
a joint-stock fund,na-ru-qam
do not promise,la tja-da-an-ma
anything to anyone else,a-ma-ma-an
lest you put me to shame,la tù-ba-la-ni
do come here,a-ta-al-kam
and have Su-Hubur clear your affairs,ù Su-Hu-bur a-na-kam
my dear brother,a-hi-lu
put in a word on my behalf,a-ma-kam
to Assur-malik,A-sùr-ma-lik
saying,um-ma a-ta-ma
in this house,i-na É-dim
where your father and grandfather have been clothed,a-bu-kà ù a-bu a-bi-kà
you too should take a joint-stock fund,ù a-ta a-ma-kam
and be clothed yourself,na-ru-qam na an 1i ma
La-qep was a close associate,La-qé-pi-im
of Pûsu-ken,Pûsu-ken
and like him he had intense commercial contacts,ù a-na-kam
with a group of men in Assur,i-na A-sùr
who counted Salim-ahum and Su-Hubur,Salim-ahum ù Su-Hu-bur
the writer of this letter,a-na Su-Hu-bur
he in turn was an uncle of Imdi-ilum,ù Imdi-ilum
another Kanesh merchant,A-sùr-ma-lik
who was very active in this circle of traders,i-na É-dim a-rani-»nim
the joint-stock capital was tied to the individual trader,na-ru-qam a-na bé-ti-ni
not to the family,la tù-wa-la-ar-lu-nu
every adult member would manage such a fund,a-ta-ma a-sar
as their private business,a-hi a-ta
and at least some of them would also have investments,ù za kà kà
in other people's naruqqum,a-pu-tum su-ma
a letter from Assur-idi in Assur to Assur-nada,um-ma A-sùr-UTU-si ma a-na-kam
people less important than you administer joint-stock investments,a-ta : pa-kà a-ma-ma-an
and people less important than myself have invested,KÙ.BABBAR sa na-ru-qi-a
10 minas of gold,10 ma-na LA 15 GIN
the father advises his son,a-bu-kà ù a-bu a-bi-kà
to get hold of all the investments he can lay his hands on,i-na sé-ri-a i di tic ni mi
in Anatolia and to come to Assur,a-ta-al-kam : ma : Su-Hu-bur
to have his status as manager of such a fund regulated,ù Su-Hubur a-na-kam
such a partnership would be dissolved at the death,a-ta-ma a-sar
of its manager,A-sùr-ma-lik
but on the other hand,ù a-ta [a-m]a-kam
investments in a naruqqum could be inherited,na-ru-qam na an 1i ma [TUG.HI.A]
after the death of the investor,i-na É-dim a-rani-»nim
we have a few texts that tell us,kt 94/k 1458: l-21
that after the death of the important trader Pûsu-ken,Pûsu-ken
his sons inherited shares of his investments,DUMU A-mai-Mar
in other persons' joint-stock funds,i-li-a-lam 10 ma-na LA 15 GIN
and the oldest heir,La-qé-pi-im DUMU Kà-a-ti-im
bought these from two of his brothers,6 1/2 ma-na A sùr ma lik DUMU En-um-'IM
a document in the Salim-Assur archive,kt 94/k 1051
contains a list of investments,22 ma-na É A-sur-i-mi-tz ù Hu-ni-a
in the joint-stock fund of one of the members,20 1/2 ma-na i-li-a-lam
of the family,10 ma-na LA 15 GIN Su-Ku-bu-um
probably Salim-Assur himself,13 ma-na É Su-dEN.LIL
22 minas,13 ma-na DUMU A-mai-Mar
the house of Assur-imitti and Hunniya,13 2/3 ma-na 5 GIN la La-qé-pi-im
20 '/2 minas,DUMU Kà-a-ti-im 6 1/2 ma-na A sùr ma lik
Ili-slum,SU.NIGIN 1 1/2 GU 8 1/2 ma-na KU.BABBAR
10 minas less 15 shekels,sa na-ru-qi-a q6.-dum
Su-Kûbum,sa ta-ad-mi-liq-tti-su-nu
13 minas,la mn-me-a-nu-a i-na sé-ri-a
the house of Su-Illil,i di tic ni mi sa al
13 minas the son of Amur-Istar,KÙ.BABBAR u4-mu-lu-nu ma-al-u
13 2/3 minas 5 shekels belonging to La-qip,a-na MU.4.SÈ i-la-qal
son of Kayatum,ù a-ta [a-m]a-kam
6 1/2 minas,a-hi a-ta
Assur-malik son of Ennam-Adad,A-sùr-ma-lik
"Immediately after the death of Salim-Assur the younger son Al-ahum, who had been with the father in the city Durhumit when he died, wrote to his brother Ennam-Assur: Sadly, our father has died. It is not Salim-Assur who is our father, it is you who are our father. Take care there of our father's instructions and clear the affair.",la li-bi i-li-ma a-bu-ni : me-et la SCaI-ma-A-sur a-bu-ni a-ta a-bu-ni a-ma-kam a-na ti-ir-ti; a-bi4-ni i-hi-rid-ma za-ki-i
"Sadly, our father has died. It is not Salim-Assur who is our father, it is you who are our father. Take care there of our father's instructions and clear the affair.",la li-bi i-li-ma a-bu-ni : me-et la SCaI-ma-A-sur a-bu-ni a-ta a-bu-ni a-ma-kam a-na ti-ir-ti; a-bi4-ni i-hi-rid-ma za-ki-i
2 minas of silver,2 ma-na KÙ.BABBAR
